"wikidata1","event","subject","wikidata2","date_from"
"Q2596991","change_state","ВКЛ","Q49683",1401
"Q2596991","change_state","Рэч Паспалітая (з 1566 г.)","Q172107",1566
"Q2596991","change_state","Расійская імперыя ( з 1795 г.)","Q34266",1795
"Q2596991","change_state","Польская рэспубліка (II Рэч Паспалітая) (з1921 г.)","Q207272",1921
"Q2596991","change_state","БССР (з1939 г.)","Q2895",1939
"Q2596991","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2596991","get_magdeburg",,,1590
"Q2596991","become_town",,,1795
"Q2596991","become_settlement",,,"19?"
"Q241475","change_state","ВКЛ","Q49683",
"Q241475","change_state","Рэч Паспалітая (з 1566 г.)","Q172107",1566
"Q241475","change_state","Расійская імперыя (з1795 г.)","Q34266",1795
"Q241475","change_state","Польская Рэспубліка ( II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q241475","change_state","БССР (з 1939 г.)","Q2895",1939
"Q241475","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q241475","get_magdeburg",,,1590
"Q241475","become_city",,,
"Q956159","change_state","ВКЛ. ( Вядомы  як Дабучын, княжацкі двор у складзе Кобрынскага княства ) (з 1487 г.)","Q49683",1487
"Q956159","change_state","Рэч Паспалітая (з 1560 г.)","Q172107",1560
"Q956159","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q956159","change_state","Польская рэспубліка (II Рэч Паспалітая) (з1921 г.)","Q207272",1921
"Q956159","change_state","БССР (з1939 г.)","Q2895",1939
"Q956159","change_state","Рэспубліка  Беларусь (ад 1991г.)","Q184",1991
"Q956159","get_magdeburg","Ганна Ягелонка  надала гораду магдэбургскае права, герб і дазвол на 2 кірмашы на год, прывілеем замацавана сучасная назва Пружаны, вядомая і раней",,"03.05.1588"
"Q956159","become_city",,,
"Q955992","change_state","ВКЛ  (у пач. XIV ст.)","Q49683"," XIV ст."
"Q955992","change_state","Рэч Паспалітая ( 1532 г.)","Q172107",1532
"Q955992","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q955992","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q955992","change_state","БССР (з 1939 г.)","Q2895",1939
"Q955992","change_state","Рэспубліка Беларусь (ад 1991 г.)",,1991
"Q955992","get_magdeburg"," Ганна Ягелонка надала гораду Магдэбургскае права.Кобрын меў магдэбургскае права да 1766",,"10.12.1589- 1766"
"Q955992","become_city",,,
"Q3917328","change_state","Рэч Паспалітая","Q172107","XVI ст. "
"Q3917328","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q3917328","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921г.)","Q207272",1921
"Q3917328","change_state","БССР (з1939 г.)","Q2895",1939
"Q3917328","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q3917328","get_magdeburg",,,
"Q3917328","become_town",,,
"Q3917328","become_agrotown",,,
"Q201230","change_state","ВКЛ","Q49683","XIII ст."
"Q201230","change_state","Рэч Паспалітая (1565г.)","Q172107",
"Q201230","change_state","Расійская імперыя (з 1795 г.)","Q34266",1793
"Q201230","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q201230","change_state","БССР (з 1939 г.)","Q2895",1939
"Q201230","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q201230","get_magdeburg",,,
"Q201230","become_city"," У склад горада ўключана вёска Альба Нясвіжскага сельсавета",,27.03.1978
"Q3917371","change_state","ВКЛ","Q49683",1448
"Q3917371","change_state","Рэч Паспалітая (з 1565 г.)","Q172107",1565
"Q3917371","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q3917371","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q3917371","change_state","БССР (з 1939 г.)","Q2895",1939
"Q3917371","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q3917371","get_magdeburg",,,"1579 або 1670"
"Q3917371","become_town",,,
"Q3917371","become_village",,,1940
"Q386487","change_state","Чарнігаўскае княства",,1155
"Q386487","change_state","Тураўскае княства ",,"12?"
"Q386487","change_state","ВКЛ (З сяр. XIV ст.)","Q49683","XIV ст."
"Q386487","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q386487","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q386487","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q386487","change_state","БССР (з 1919 г.)","Q2895",1919
"Q386487","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q386487","get_magdeburg",,,"28.12. 1577"
"Q386487","become_city",,,
"Q651555","change_state","Полацкае княства (X — XI стст. )",,"X — XI стст. "
"Q651555","change_state","ВКЛ ( 1566 г.)","Q49683",1566
"Q651555","change_state","Рэч Паспалітая ( з 1569 г.)","Q172107",
"Q651555","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q651555","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q651555","change_state","БССР (з 1939 г.)","Q2895",1939
"Q651555","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q651555","get_magdeburg",,,"20.01. 1569 "
"Q651555","become_city",,,
"Q154835","change_state","ВКЛ (пач. XIV cт.)","Q49683","пач. XIV cт."
"Q154835","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q154835","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q154835","change_state","БССР (1919, 1924 гг.)","Q2895","1919, 1924"
"Q154835","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q154835","get_magdeburg",,,"28.01.1577 "
"Q154835","become_city",,,
"Q204150","change_state","Тураўскае княства  (да XII ст.)",,"да XII ст."
"Q204150","change_state","ВКЛ (пач. XIV cт.)","Q49683","пач. XIV ст."
"Q204150","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q204150","change_state","Расійская імперыя (з 1793г.)","Q34266",1793
"Q204150","change_state","БССР ( 01.01.1919-26.09.1920 гг.)","Q2895","1919-1920"
"Q204150","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q204150","change_state","БССР (з 1939 г.)","Q2895",1939
"Q204150","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q204150","get_magdeburg","12 студзеня 1581 кароль і вялікі князь Стэфан Баторый надаў Пінску Магдэбургскае права (пацвярджалася ў 1589, 1633, 1650, 1785 гадах)",,"12.01.1581"
"Q204150","become_city",,,
"Q102217","change_state","Цэнтр Віцебскага княства (з1101 г.)",,1101
"Q102217","change_state","ВКЛ ( з 1321 г.)","Q49683",1321
"Q102217","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q102217","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q102217","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",1918
"Q102217","change_state","БССР (1919, 1924 гг.)","Q2895","1919, 1924"
"Q102217","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q102217","get_magdeburg","У 1597 горад атрымаў магдэбургскае права і герб. Пасля Віцебскага паўстання (1623) пазбаўлены магдэбургскага права, адноўлена ў 1644",,"1597,1623"
"Q102217","become_city",,,
"Q278743","change_state","Цэнтр Новагародскага княства (XIII—XIV ст.)",,"XIII—XIV ст."
"Q278743","change_state","ВКЛ  ( з кан. 1240 - пач.1250 гг.)","Q49683",1240
"Q278743","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q278743","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q278743","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",
"Q278743","change_state","БССР (з 1939 г.)","Q2895",
"Q278743","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",
"Q278743","get_magdeburg","26 ліпеня 1511 г. Навагрудак атрымаў магдэбургскае права, якое пацвярджалася ў 1562, 1595 і 1776 гг",,"26.06.1511"
"Q278743","become_city",,,
"Q739491","change_state","ВКЛ (др. пал. XIII ст.)","Q49683","XIII ст."
"Q739491","change_state","Рэч Паспалітая (з 1507 г.)","Q172107",1507
"Q739491","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q739491","change_state","БНР (з 25 сакавіка 1918 г.)","Q842199",
"Q739491","change_state","БССР (1919 г.)","Q2895",
"Q739491","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",
"Q739491","change_state","БССР (з 1939 г.)","Q2895",
"Q739491","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q739491","get_magdeburg",,,1503
"Q739491","become_city",,,
"Q863576","change_state","ВКЛ ( з сяр. XIII ст.)","Q49683"," XIII ст."
"Q863576","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q863576","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q863576","change_state","Польская Рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q863576","change_state","БССР (з 1939 г.)","Q2895",1939
"Q863576","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q863576","get_magdeburg","У 1531 г. вялікі князь Жыгімонт Стары даў Слоніму гарадское самакіраванне па магдэбургскім праве, пацверджанае ў 1591 г.  Жыгімонтам Вазам (скасавана ў 1776 г.)",,1531
"Q863576","become_city",,,
"Q2678","change_state","Чарнігаўскае княства (у 1142 г., 1161 г.)",,"1142, 1161"
"Q2678","change_state","Смаленскае княства  ( у 1157 г.)",,1157
"Q2678","change_state","ВКЛ (каля 1335 г.)","Q49683",1355
"Q2678","change_state","Рэч Паспалітая (з 1595 г.)","Q172107",1595
"Q2678","change_state","Расійская імперыя (з 1772 г.)","Q34266",1772
"Q2678","change_state","Цэнтр створанай Гомельскай губерні РСФСР (1919 г.)",,1919
"Q2678","change_state","БССР (с 02.12.1926 г.)","Q2895",02.12.1926
"Q2678","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2678","get_magdeburg",,,"21.03.1562 "
"Q2678","become_city",,,
