"wikidata1","event","subject","wikidata2","date_from"
"Q3917705","become_town",,,1795
"Q3917705","become_village",,,14.04.1960
"Q3917705","become_agrotown",,,"20??"
"Q2376687","change_state","Полацкае княства","Q517333","????"
"Q2376687","change_state","ВКЛ","Q49683","12??"
"Q2376687","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2376687","change_state","Расійская імперыя (правабярэжная частка, з 1772 г.)","Q34266",1772
"Q2376687","change_state","Расійская імперыя (левабярэжная частка, з 1793 г.)","Q34266",1793
"Q2376687","change_state","БССР","Q2895","19??"
"Q2376687","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2376687","get_magdeburg",,,1577
"Q2376687","become_city",,,1577
"Q2376687","become_settlement",,,1938
"Q2376687","become_agrotown",,,"20??"
"Q2995176","change_state","ВКЛ","Q49683","12??"
"Q2995176","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2995176","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q2995176","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q2995176","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2995176","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2995176","get_magdeburg",,,1649
"Q2995176","become_settlement",,,30.04.1958
"Q2079081","change_state","ВКЛ","Q49683","12??"
"Q2079081","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q2079081","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q2079081","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q2079081","change_state","БССР ( з 1 студзеня 1919 г.","Q2895",1919
"Q2079081","change_state","Польская рэспубліка (II Рэч Паспалітая) (з 1921 г.)","Q207272",1921
"Q2079081","change_state","БССР (з 1939 г.)","Q2895",1939
"Q2079081","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q2079081","get_magdeburg",,,1652
"Q2079081","become_town",,,1624
"Q2079081","become_city",,,1652
"Q2079081","become_village",,,1940
"Q2079081","become_agrotown",,,"20??"
"Q200950","change_state","ВКЛ (з 1320-х гг.)","Q49683",1320
"Q200950","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q200950","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q200950","change_state","БНР ( з 25 сакавіка 1918 г.)","Q842199",1918
"Q200950","change_state","БССР ( з 1 студзеня 1919 г.","Q2895",1919
"Q200950","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q200950","get_magdeburg",,,"27.08.1652"
"Q200950","become_town",,,1793
"Q200950","become_settlement",,,1938
"Q200950","become_city",,,1984
"Q201243","change_state","Тураўскае княства (да 1149 г.)","Q671362",1149
"Q201243","change_state","Слуцкае княства (з 1160 г.)","Q13032661",1160
"Q201243","change_state","ВКЛ ( з 20-30-х гг. XIV ст.)","Q49683","13??"
"Q201243","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q201243","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q201243","change_state","БНР ( з 25 сакавіка 1918 г.).","Q842199",1918
"Q201243","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",1919
"Q201243","change_state","Польская рэспубліка (II Рэч Паспалітая) (1918-1920 гг.)","Q207272",1918
"Q201243","change_state","БССР (з 1920 г.)","Q2895",1920
"Q201243","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q201243","get_magdeburg",,,1441
"Q3499049","change_state","ВКЛ","Q49683","12??"
"Q3499049","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q3499049","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q3499049","change_state","БНР ( з 25 сакавіка 1918 г.).","Q842199",1918
"Q3499049","change_state","БССР (з 1 студзеня 1919 г.)","Q2895",1919
"Q3499049","change_state","Польская рэспубліка (II Рэч Паспалітая) ( з 1921 гг.)","Q207272",1921
"Q3499049","change_state","БССР (з 1939 г.)","Q2895",1939
"Q3499049","change_state","Рэспубліка Беларусь (ад 1991 г.)","Q184",1991
"Q3499049","get_magdeburg",,,1705
"Q3499049","become_village",,,1939
"Q3499049","become_agrotown",,,"20??"
"Q20537755","change_state","ВКЛ","Q49683","12??"
"Q20537755","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q20537755","change_state","Расійская імперыя (з 1793 г.)","Q34266",1793
"Q20537755","change_state","Польская рэспубліка (II Рэч Паспалітая) (1921–1939 гг.)","Q207272",1921
"Q20537755","change_state","БССР (з 1939 г.)","Q2895",1939
"Q20537755","change_state","Рэспубліка Беларусь (ад 1991 г.","Q184",1991
"Q20537755","get_magdeburg",,,1729
"Q1460634","change_state","ВКЛ","Q49683","12??"
"Q1460634","change_state","Рэч Паспалітая (з 1569 г.)","Q172107",1569
"Q1460634","change_state","Расійская імперыя (з 1795 г.)","Q34266",1795
"Q1460634","change_state","Польская рэспубліка (II Рэч Паспалітая) (1921–1939 гг.)","Q207272",1921
